Local time,Open,High,Low,Close,Volume
02.05.2024 02:45:00.000 GMT+0100,2323.185,2324.625,2322.465,2324.355,177699.99859999996
02.05.2024 03:00:00.000 GMT+0100,2324.335,2325.845,2324.335,2324.695,160550
02.05.2024 03:15:00.000 GMT+0100,2324.695,2325.315,2322.016,2322.505,169260.0013
02.05.2024 03:30:00.000 GMT+0100,2322.505,2322.765,2320.525,2321.295,363200.0014
02.05.2024 03:45:00.000 GMT+0100,2321.225,2321.552,2319.022,2320.465,346660.00119999994
02.05.2024 04:00:00.000 GMT+0100,2320.465,2320.595,2317.575,2319.245,253200.0015
02.05.2024 04:15:00.000 GMT+0100,2319.245,2320.055,2317.715,2319.985,234129.99870000003
02.05.2024 04:30:00.000 GMT+0100,2319.995,2320.915,2318.375,2318.455,203579.99909999996
02.05.2024 04:45:00.000 GMT+0100,2318.455,2320.135,2318.435,2319.765,59340.0002
02.05.2024 05:00:00.000 GMT+0100,2319.835,2321.235,2319.545,2320.725,59480.00000000001
02.05.2024 05:15:00.000 GMT+0100,2320.745,2320.825,2319.895,2320.082,71359.99990000001
02.05.2024 05:30:00.000 GMT+0100,2320.055,2320.895,2319.105,2319.185,57709.9995
02.05.2024 05:45:00.000 GMT+0100,2319.222,2319.635,2318.325,2318.415,92940.0006
02.05.2024 06:00:00.000 GMT+0100,2318.415,2318.645,2315.275,2315.985,126969.99910000002
02.05.2024 06:15:00.000 GMT+0100,2315.985,2317.065,2313.225,2314.735,244520.0002
02.05.2024 06:30:00.000 GMT+0100,2314.755,2316.375,2314.505,2316.102,434560
02.05.2024 06:45:00.000 GMT+0100,2316.112,2316.362,2314.855,2315.252,386180.004
02.05.2024 07:00:00.000 GMT+0100,2315.252,2316.792,2312.925,2316.685,961450.0067
02.05.2024 07:15:00.000 GMT+0100,2316.682,2318.765,2316.165,2317.185,757679.9970999999
02.05.2024 07:30:00.000 GMT+0100,2317.202,2319.362,2314.455,2314.475,351409.9969
02.05.2024 07:45:00.000 GMT+0100,2314.455,2315.795,2312.795,2313.922,687749.9894
02.05.2024 08:00:00.000 GMT+0100,2313.806,2315.332,2310.015,2310.272,805490.0038
02.05.2024 08:15:00.000 GMT+0100,2310.236,2312.595,2308.405,2311.175,550000.0005000001
02.05.2024 08:30:00.000 GMT+0100,2311.175,2313.035,2310.495,2310.645,362550.0035
02.05.2024 08:45:00.000 GMT+0100,2310.665,2311.715,2308.872,2309.505,513660.0007
02.05.2024 09:00:00.000 GMT+0100,2309.505,2311.365,2306.935,2307.925,920629.9930000001
02.05.2024 09:15:00.000 GMT+0100,2307.875,2308.385,2304.515,2304.825,900639.9977
02.05.2024 09:30:00.000 GMT+0100,2304.685,2306.975,2304.495,2306.292,737460.0021
02.05.2024 09:45:00.000 GMT+0100,2306.295,2307.492,2303.325,2304.305,674119.9997
02.05.2024 10:00:00.000 GMT+0100,2304.305,2305.362,2303.555,2305.235,1068250.0041
02.05.2024 10:15:00.000 GMT+0100,2305.282,2305.725,2302.212,2302.262,866020.0016000001
02.05.2024 10:30:00.000 GMT+0100,2302.262,2302.315,2299.085,2301.465,932739.9991000001
02.05.2024 10:45:00.000 GMT+0100,2301.455,2302.872,2301.102,2302.185,640420.0047999999
02.05.2024 11:00:00.000 GMT+0100,2302.162,2302.162,2296.365,2297.305,1178620.0143
02.05.2024 11:15:00.000 GMT+0100,2297.365,2298.715,2295.475,2295.945,983729.9996999999
02.05.2024 11:30:00.000 GMT+0100,2295.922,2298.292,2295.555,2296.795,880909.9944
02.05.2024 11:45:00.000 GMT+0100,2296.795,2299.725,2296.422,2299.605,768509.9990000001
02.05.2024 12:00:00.000 GMT+0100,2299.636,2303.242,2298.745,2301.265,1051209.9861
02.05.2024 12:15:00.000 GMT+0100,2301.282,2301.455,2298.022,2299.615,879409.9911999999
02.05.2024 12:30:00.000 GMT+0100,2299.615,2301.505,2298.775,2299.325,771269.9992000001
02.05.2024 12:45:00.000 GMT+0100,2299.325,2300.082,2297.795,2299.275,434360.00320000004
02.05.2024 13:00:00.000 GMT+0100,2299.225,2301.922,2297.312,2301.746,561550.0025
02.05.2024 13:15:00.000 GMT+0100,2301.782,2304.595,2298.915,2302.965,1230530.0049
02.05.2024 13:30:00.000 GMT+0100,2302.892,2303.855,2298.445,2302.792,1546059.9846
02.05.2024 13:45:00.000 GMT+0100,2302.815,2304.732,2293.862,2294.762,727460.0099
02.05.2024 14:00:00.000 GMT+0100,2294.772,2295.435,2286.625,2289.055,2285560.0266
